code,level,processed_code
repeat 100 times print 'Hedy is leuk!',5,repeat % % % % % % % % print % % % % % is % % % % % % 
print 'Hallo welkom bij Hedy',5,print % % % % % % % % % % % % % % % % % % % % 
repeat 9 times print 'Hedy is leuk!',5,repeat % % % % % % print % % % % % is % % % % % % 
repeat 10 times print 'Hedy is leuk!',5,repeat % % % % % % % print % % % % % is % % % % % % 
"kleur is ask Wat is je lievelingskleur?
if kleur is groen print 'mooi!' else print 'niet zo mooi'",5,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % if % % % % % is % % % % % print % % % % % % % else print % % % % % % % % % % % % 
"repeat 9 times print 'Baby Shark tututudutudu'
print 'Baby Shark'",5,repeat % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % 
"print 'Baby Shark tututudutudu'
print 'Baby Shark tututudutudu'
print 'Baby Shark tututudutudu'
print 'Baby Shark'",5,print % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % 
"mensen is mama, papa, Emma, Sophie
repeat 7 times print 'de afwasser is ' mensen at random",5,% % % % % % is % % % % % % % % % % % % % % % % % % % % % repeat % % % % % % print % % % % % % % % % % % is % % % % % % % % % % % % % % % 
"keuzes is 1, 2, 3, 4, 5, regenworm
repeat 8 times print 'je hebt ' keuzes at random ' gegooid'",5,% % % % % % is % % % % % % % % % % % % % % % % % % % repeat % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
"print 'Hedy is leuk!'
print 'Hedy is leuk!'
print 'Hedy is leuk!'
print 'Hedy is leuk!'
print 'Hedy is leuk!'
print 'Hedy is leuk!'",5,print % % % % % is % % % % % % print % % % % % is % % % % % % print % % % % % is % % % % % % print % % % % % is % % % % % % print % % % % % is % % % % % % print % % % % % is % % % % % % 
"print 'Hedy is leuk!'
print 'Hedy is leuk!'
print 'Hedy is leuk!'",5,print % % % % % is % % % % % % print % % % % % is % % % % % % print % % % % % is % % % % % % 
"kleur is ask Wat is je lievelingskleur?
if kleur is groen repeat 3 times print 'mooi!' else repeat 5 times print 'niet zo mooi'",5,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % if % % % % % is % % % % % repeat % % % % % % print % % % % % % % else repeat % % % % % % print % % % % % % % % % % % % 
"g is 1,2
m is g at random
n is ask Denk je aan 1 of aan 2?
print 'Jij koos ' n
print 'Ik koos ' m
if n is m print 'Ja het is ' m else print 'nee ik had ' m",5,% is % % % % is % % % % % % % % % % is ask % % % % % % % % % % % % % % % % % print % % % % % % % % % % print % % % % % % % % % if % is % print % % % % % % is % % else print % % % % % % % % % % % 
"g is 1,2
m is g at random
n is ask Denk je aan 1 of aan 2?
print 'Jij koos ' n
if n is 1 print 'Ja het is ' m else print 'nee ik had ' m",5,% is % % % % is % % % % % % % % % % is ask % % % % % % % % % % % % % % % % % print % % % % % % % % % % if % is % print % % % % % % is % % else print % % % % % % % % % % % 
"g is kop,munt
m is g at random
n is ask Kop of munt?
print 'Jij koos ' n
if n is m print 'Ja het is ' m else print 'nee ik had ' m",5,% is % % % % % % % % % is % % % % % % % % % % is ask % % % % % % % % % % print % % % % % % % % % % if % is % print % % % % % % is % % else print % % % % % % % % % % % 
"penis is ask Wat is je lievelingspenis?
if penis is bruinebeschimmeldepenis repeat 4 times print 'mooie penis heb jij!' else repeat 5 times print 'vieze lul'",5,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % if % % % % % is % % % % % % % % % % % % % % % % % % % % % % % repeat % % % % % % print % % % % % % % % % % % % % % % % % % % else repeat % % % % % % print % % % % % % % % % % 
"penis is ask Wat is je lievelingspenis?
if penis is bruin repeat 4 times print 'lekker schoon' else repeat 5 times print 'vieze lul'",5,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % if % % % % % is % % % % % repeat % % % % % % print % % % % % % % % % % % % % % else repeat % % % % % % print % % % % % % % % % % 
