,code,level,processed_code
9199,print '5 keer 5 is ' 5 * 5,6,print % % % % % % % is % % *% 
9201,"antwoord is ask Hoeveel is 10 plus 10?
if antwoord is 20 print 'Goedzo!' else print 'Foutje'",6,% % % % % % % % is ask % % % % % % % is % % % % % % % % % if % % % % % % % % is % % print % % % % % % % % % else print % % % % % % % % 
9321,"kleur is ask Wat is je lievelingskleur?
if kleur is groen repeat 3 times print 'mooi!' else repeat 5 times print 'niet zo mooi'",6,% % % % % is ask % % % is % % % % % % % % % % % % % % % % % % if % % % % % is % % % % % repeat % % % % % % print % % % % % % % else repeat % % % % % % print % % % % % % % % % % % % 
9393,"keuzes is 1, 2, 3, 4, 5, regenworm
worp is keuzes at random
print 'je gooide ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",6,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % 
9439,"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",6,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % 
9453,print '900 keer 5909 is ' 5909 * 900,6,print % % % % % % % % % % % % is % % % % % *% % % 
9467,if poep is foutje print diaree,6,if % % % % is % % % % % % print % % % % % % 
9478,ask is ask poep,6,ask is ask % % % % 
9479,print '10000 keer 10000 is ' 10000 * 10000,6,print % % % % % % % % % % % % % % % is % % % % % % *% % % % % 
9480,"ask is ask poep
k is ask ask poep",6,ask is ask % % % % % is ask ask % % % % 
9484,"d is ask poep
k is ask d poep
l is ask k d poep
f is ask l k d poep",6,% is ask % % % % % is ask % % % % % % is ask % % % % % % % is ask % % % % % % % 
9485,"antwoord is ask Hoeveel is 10 min 10?
if antwoord is 20 print 'Goedzo!' else print 'Foutje'",6,% % % % % % % % is ask % % % % % % % is % % % % % % % % if % % % % % % % % is % % print % % % % % % % % % else print % % % % % % % % 
9488,"antwoord is ask Hoeveel is 10 min 10?
if antwoord is 0 print 'Goedzo!' else print 'Foutje'",6,% % % % % % % % is ask % % % % % % % is % % % % % % % % if % % % % % % % % is % print % % % % % % % % % else print % % % % % % % % 
9489,print dikke vette punt,6,print % % % % % % % % % % % % % % 
9497,"print 'dikke vette punt'
l is ask peop",6,print % % % % % % % % % % % % % % % % % is ask % % % % 
9501,print hoi,6,print % % % 
9503,print 'hoi',6,print % % % % % 
9506,"print 'IK HEEB MIJJN LETTEEER GEPOEEEEEEPT!!!!!!!'
",6,print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
9507,"print 'hoi'
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",6,print % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % 
9508,"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp worp worp worp worp worp worp worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",6,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % 
9510,"print ' '
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",6,print % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % 
