code,processed_code
"for i in range 1 to 3:
    for j in range 1 to 5:
    print 'so this is simplified python'",% % % % % % % % % % % % % % print % % is % % 
"for i in range 1 to 3:
    for j in range 1 to 5:
    print 'we are in round: ' i ' and we count: ' j",% % % % % % % % % % % % % % print % % % % % % % % % % % % 
"for i in range 1 to 3:
    for j in range 1 to 5:
    print 'we are in round: ' i ' and we count: ' j
for i in range 1 to 3:
    for j in range 1 to 5:
    print 'we are in round: ' i ' and we count: ' j ",% % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % % % % % % % % % % 
"
for a in range 1 to 3:
    for b in range 1 to 4:
    print 'we are here: ' a ' and we count: ' b",% % % % % % % % % % % % % % print % % % % % % % % % % % 
"print 'Welcome to Bootcamp'
name is ask Enter your name
print 'My name is ' name
print 'and i am excited to be here'",print % % % % is ask % % % print % % is % % print % % % % % % % 
"lunch is ask What are you having for lunch?
time is ask What time will you be having lunch?
print 'I am having ' lunch ' at ' time ' oclock'",% is ask % % % % % % % is ask % % % % % % % print % % % % % % % % % % % 
"name is ask enter you name
print 'hello ' name",% is ask % % % print % % % 
"name is ask enter you Resturant name
print 'hello ' name
",% is ask % % % % print % % % 
"name is ask enter you Restaurant name
print 'Welcome to ' name
",% is ask % % % % print % % % % 
"name is ask enter you Restaurant name
print 'Welcome to ' name

name0 is ask What is your name?
print 'My name is ' name0 ' and I will be serving you tonight'

name1 is ask  What is your name?
name2 is ask  What is your name?
print 'Hi ' name1 ' its nice to meet you'
print 'Hi ' name2 ' its nice to meet you'

order1 is ask What will you drink?
order2 is ask What will you drink?
print 'Great I will be back with one ' order1 ' and one ' order2
print '5 minutes later'
print 'Here is your ' order1 ' ' name1
print 'Here is your ' order2 ' ' name2",% is ask % % % % print % % % % % is ask % is % % print % % is % % % % % % % % % % % is ask % is % % % is ask % is % % print % % % % % % % % % print % % % % % % % % % % is ask % % % % % is ask % % % % print % % % % % % % % % % % % % % print % % % print % is % % % % % % print % is % % % % % % 
"name is ask enter you Restaurant name
print 'Welcome to ' name

name0 is ask What is your name?
print 'My name is ' name0 ' and I will be serving you tonight'

name1 is ask  What is your name?
name2 is ask  What is your name?
print 'Hi ' name1 ' its nice to meet you'
print 'Hi ' name2 ' its nice to meet you'

order1 is ask What will you drink?
order2 is ask What will you drink?
print 'Great I will be back with one ' order1 ' and one ' order2
print '5 minutes later'
print 'Here is your ' order1 '' name1
print 'Here is your ' order2 '' name2",% is ask % % % % print % % % % % is ask % is % % print % % is % % % % % % % % % % % is ask % is % % % is ask % is % % print % % % % % % % % % print % % % % % % % % % % is ask % % % % % is ask % % % % print % % % % % % % % % % % % % % print % % % print % is % % % % % print % is % % % % % 
"name is ask enter you Restaurant name
print 'Welcome to ' name

name0 is ask What is your name?
print 'My name is ' name0 ' and I will be serving you tonight'

name1 is ask  What is your name?
name2 is ask  What is your name?
print 'Hi ' name1 ' its nice to meet you'
print 'Hi ' name2 ' its nice to meet you'

order1 is ask What will you drink?
order2 is ask What will you drink?
print 'Great I will be back with one ' order1 ' and one ' order2
print '5 minutes later'
print 'Here is your ' order1 name1
print 'Here is your ' order2 name2",% is ask % % % % print % % % % % is ask % is % % print % % is % % % % % % % % % % % is ask % is % % % is ask % is % % print % % % % % % % % % print % % % % % % % % % % is ask % % % % % is ask % % % % print % % % % % % % % % % % % % % print % % % print % is % % % % print % is % % % % 
"order1 is ask What will you drink?
order2 is ask What will you drink?
print 'Great I will be back with one ' order1 ' and one ' order2
print '5 minutes later'
print 'Here is your ' order1 name1
print 'Here is your ' order2 name2",% is ask % % % % % is ask % % % % print % % % % % % % % % % % % % % print % % % print % is % % % % print % is % % % % 
"order1 is ask What will you drink?
order2 is ask What will you drink?
print 'Great I will be back with one ' order1 ' and one ' order2",% is ask % % % % % is ask % % % % print % % % % % % % % % % % % % % 
