code,processed_code
print hello world!,print % % 
"animals is dog, cat, kangaroo
print animals at random",% % % % % print % at random 
"name is Hedy
print welcome name",% % % print % % 
"legolover is ask What is your favorite color?
print legolover is your favorite!",% % ask % % % % % print % % % % 
"print hello world!
name is Barbara",print % % % % % 
"name is barbara
",% % % 
"name is Hedy
print welcome name Barbara",% % % print % % % 
"name is Hedy
print your name is name",% % % print % % % % 
"name is Malsawm
job is painting
print Welcome name and your job is",% % % % % % print % % % % % % 
"food is ask What is your favorite food?
print food is your favorite!
person is ask Who is you favourite people?
print person is your favourite!",% % ask % % % % % print % % % % % % ask % % % % % print % % % % 
"kleur is ask Wat is je lievelingskleur?
print Jouw favoriete kleur is dus 
",% % ask % % % % print % % % % % 
"dobbel is 1, 2, 3, 4, 5, regenworm
print dobbel at random
dobbel is 1, 2, 3, 4, 5, regenworm
print dobbel at random
dobbel is 1, 2, 3, 4, 5, regenworm
print dobbel at random
dobbel is 1, 2, 3, 4, 5, regenworm
print dobbel at random
",% % % % % % % % print % at random % % % % % % % % print % at random % % % % % % % % print % at random % % % % % % % % print % at random 
"raar is raar, poep, ezel, slijm
print dit is raar
print raar at random
",% % % % % % print % % % print % at random 
"variable is var
answer is ask What is your favorite variable?
print answer is your favorite variable!",% % % % % ask % % % % % print % % % % % 
"name is ask What is the name of the main character?
print name goes somewhere and finds a kitten
print The kitten is magic so he cooks the bread
print The kitten cooks bread for name",% % ask % % % % % % % % print % % % % % % % print % % % % % % % % % print % % % % % % 
"animals is dog, cat, kangaroo
print animals",% % % % % print % 
print yosuf,print % 
"animals is dog, cat, kangaroo, toad
print animals at random",% % % % % % print % at random 
"animals is dog
print animals",% % % print % 
"animals is dog, cat, kangaroo
print animals at random
print I like animals
print I like animals at random",% % % % % print % at random print % % % print % % % at random 
"animals is dog, cat, kangaroo
print animals at random
print I like animals
",% % % % % print % at random print % % % 
"animals is dog, cat, kangaroo
print I like animals at random
",% % % % % print % % % at random 
"animals is dog, cat, kangaroo
print I like animals at random
print I like animals
",% % % % % print % % % at random print % % % 
"animals is dog, cat, kangaroo
print I like animals
",% % % % % print % % % 
"animals is dog, cat, kangaroo
print I like animals at random !!
",% % % % % print % % % at random % 
"animals is dog, cat, kangaroo
print I like animals at random !!
print animals at random
",% % % % % print % % % at random % print % at random 
"animals is dog, cat, kangaroo
print I like animals at random !!
print animals at random
print animals
print I like animals
",% % % % % print % % % at random % print % at random print % print % % % 
"animals is dog, cat, kangaroo
print I like animals at random !!
print notavar at random
print animals at random
",% % % % % print % % % at random % print % at random print % at random 
"animals is dog, cat, kangaroo
print I like animals at random !!
scalar is foo
print scalar at random 
",% % % % % print % % % at random % % % % print % at random 
"print hello world!
cijfer is 2
print cijfer
",print % % % % % print % 
"print hello world!
cijfer is 2
print cijfer
ding is 1, 2, 3
print ding",print % % % % % print % % % % % % print % 
"Color is ask What is your favorite color?
print Color is your favorite color!",% % ask % % % % % print % % % % % 
"Color is ask What is your favorite color?
print Color is your favorite color!
Name is ask What is your name?
print Name your name is beautiful ",% % ask % % % % % print % % % % % % % ask % % % % print % % % % % 
"Color is ask What is your favorite color?
print Color is your favorite color!
Name is ask What is your name?
print Name your name is beautiful!
sport is ask Wich sport do you play?
print I love sport!",% % ask % % % % % print % % % % % % % ask % % % % print % % % % % % % ask % % % % % print % % % 
"skin is soccer, banner
print skin at random",% % % % print % at random 
