code,processed_code
print Hello welcome to Hedy!,print % % % % 
print hello world!,print % % 
ask What is your favorite color?,ask % % % % % 
ask What is your name?,ask % % % % 
"ask What is your name?
echo so your favorite name is ",ask % % % % echo % % % % % 
"print Hello welcome to Barbara!
ask What is your favorite color?",print % % % % ask % % % % % 
"print JA
print Nee",print % print % 
"print hello world!
print lol
",print % % print % 
"print hello world!
print lol
print laalalal",print % % print % print % 
"print hello world!
echo merhaba?",print % % echo % 
"print hello world!
ask mamaam
echo so",print % % ask % echo % 
print hhfjeu!,print % 
"print hello world!
print hello world!",print % % print % % 
"print hello world!
print hello world!
print Hoe gaat het?
",print % % print % % print % % % 
"print hello world!
print hello world!
print Hoe gaat het?
print De wereld is bijzonder
",print % % print % % print % % % print % % % % 
"echo pesho
",echo % 
echo print pesho,echo print % 
"ask where is Berfrin
echo Berfin is now in ",ask % % % echo % % % % 
print ik ben cool,print % % % 
"ask Ben ik dom?
echo serius? dit",ask % % % echo % % 
"print smth
echo echo
",print % echo echo 
"print something
echo something
",print % echo % 
"ask What is your favorite color?
echo so ",ask % % % % % echo % 
"print Hello welcome to Hedy!
print Wow it worked
",print % % % % print % % % 
"ask What is your name?
echo Your name is",ask % % % % echo % % % 
"ask What is your name?
echo",ask % % % % echo 
"ask What is your name?
echo Teresa",ask % % % % echo % 
"ask The main character of this story is
print The main character of this story is
print He walks in the forest
echo He is a little scared
print He hears crazy sounds everywhere
print He is afraid this is a ghost forest",ask % % % % % % % print % % % % % % % print % % % % % echo % % % % % print % % % % % print % % % % % % % % 
"ask The main character of this story is
echo The main character of this story is
echo He walks in the forest
echo He is a little scared
echo He hears crazy sounds everywhere
echo He is afraid this is a ghost forest",ask % % % % % % % echo % % % % % % % echo % % % % % echo % % % % % echo % % % % % echo % % % % % % % % 
ask ciao,ask % 
"ask The main character of this story is
echo The main character of this story is",ask % % % % % % % echo % % % % % % % 
"ask The main character of this story is
",ask % % % % % % % 
"ask The main character
",ask % % % 
"ask The ma
",ask % % 
"ask The main character of this story is
echo The",ask % % % % % % % echo % 
"ask What is the name of the main character?
print He goes somewhere and find a kitten
print The kitten is magic so he cooks the bread
echo The kitten cooks bread for ",ask % % % % % % % % print % % % % % % % print % % % % % % % % % echo % % % % % 
"ask What is your favorite color?
echo ",ask % % % % % echo 
"ask What is your favorite color?
echo so your favorite colour is",ask % % % % % echo % % % % % 
"print hello world!
ask Hoe heet je?",print % % ask % % % 
"print Hello!
ask What is your name?
echo Oh hello ",print % ask % % % % echo % % 
"ask What is your favorite color? hello
",ask % % % % % % 
"print hello world! blabla
ask noem een getal
echo je noemde 
",print % % % ask % % % echo % % 
"print hello world! blabla
ask noem een getal
echo je noemde 
ask wie is de mol?
echo de mol is ",print % % % ask % % % echo % % ask % % % % echo % % % 
"ask What is your favorite color?
echo 
ask how old are you?
echo ",ask % % % % % echo ask % % % % echo 
"ask hoe heet je schoonmoedr
print ask",ask % % % % print ask 
"ask What is your favorite color?
print hi",ask % % % % % print % 
"ask What is your favorite color?
ask Who is your favorite person
echo hi ",ask % % % % % ask % % % % % echo % 
print my string is my answer,print % % % % % 
print i want to ask,print % % % ask 
"ask What is your favorite food?
echo your fav food is:",ask % % % % % echo % % % % 
"ask What is your favorite color?
echo I like ",ask % % % % % echo % % 
"print Hello, print to Hedy!",print % print % % 
"print print Hello, print to Hedy!",print print % print % % 
print print Hello to Hedy!,print print % % % 
print print,print print 
"print Hello from Hannah 
print Welcome to Hedy",print % % % print % % % 
"ask What is your favorite food?
echo So your favourite food is :",ask % % % % % echo % % % % % : 
"ask The main character of this story is 
echo The main character of the story is:
print He walks in the forest",ask % % % % % % % echo % % % % % % % print % % % % % 
"ask What is your favorite color?
ask what is your favourite colour
",ask % % % % % ask % % % % % 
"ask What is your favorite color?
ask what is the colour of your poop?
",ask % % % % % ask % % % % % % % 
"print hello world!
ask me what my favertit food",print % % ask % % % % % 
print why dose this olny have 7 levels?,print % % % % % % % 
"
print why dose this olny have 7 levels?
print it is wired
",print % % % % % % % print % % % 
"
print why dose this olny have 7 levels?
print it is wired
echo whoh
",print % % % % % % % print % % % echo % 
"
print why dose this olny have 7 levels?
print it is wired
ask too echo whoh
echo whoh
",print % % % % % % % print % % % ask % echo % echo % 
"ask what is your name?
echo Hello 
ask what is your age?
echo I knew you would say ",ask % % % % echo % ask % % % % echo % % % % % 
"ask What is your favorite color?
echo ..",ask % % % % % echo .. 
"print hello world!
ask what is your name?
echo 
",print % % ask % % % % echo 
"print hello world!
ask what is your name?
",print % % ask % % % % 
"ask What is your favorite color?
ask what is poop?",ask % % % % % ask % % % 
"ask What is your favorite color?
ask what is poop?
ask do you like math?
ask how are you today?
ask what is your favorite food?",ask % % % % % ask % % % ask % % % % ask % % % % ask % % % % % 
"ask What is your favorite color?
ask What's up?",ask % % % % % ask % % 
ask What is the airspeed velocity of a swallow?,ask % % % % % % % % 
"print Hello welcome to Hedy!
print smart",print % % % % print % 
print Olá! Meu nome é Fabiana!,print % % % é % 
echo What is your favorite color?,echo % % % % % 
"print hello world!
ask what
",print % % ask % 
"print Hello welcome to Hedy!
print print",print % % % % print print 
print hello - world!,print % - % 
"print hello world!
ask what is this?
echo you said ..",print % % ask % % % echo % % .. 
"print hello world!
ask what is this?
echo you said ",print % % ask % % % echo % % 
"print Hello welcome to Hedy!
print Well, it sure looks easy :D
",print % % % % print % % % % % % 
"print hello world!
print hey * 2",print % % print % * % 
echo hello world!,echo % % 
print .,print . 
"print hello world!
ask what do you think?
echo so .. is it",print % % ask % % % % echo % .. % % 
"print hello world!
ask what do you think?
echo so it's ",print % % ask % % % % echo % % 
"print hello world!
ask what do you think?
echo so it is",print % % ask % % % % echo % % % 
print whistle while you work whilstle while you work time 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0,print % % % % % % % % % % % % % % % % % % % % % % % % % % % % % 
"print Knock Knock
ask Who's there?
echo 
print who?",print % % ask % % echo print % 
"print Hello welcome to Hedy!
ask who are you?
echo hello ",print % % % % ask % % % echo % 
"print Hello welcome to Hedy!
ask who are you?
ask where are you from 
echo hello 
echo from ",print % % % % ask % % % ask % % % % echo % echo % 
"print Hello welcome to Hedy!
ask who are you?
echo hello 
ask where are you from 
echo from ",print % % % % ask % % % echo % ask % % % % echo % 
print ellka + leo,print % + % 
"print hello world!
print zfar
ask What is your favorite color?
",print % % print % ask % % % % % 
"print Hello welcome to Hedy!
echo aaaaa",print % % % % echo % 
"print Hello welcome to Hedy!
ask Why am I here?
echo So you're here because ",print % % % % ask % % % % echo % % % % 
ask print echo hello world!,ask print echo % % 
print echo hello world!,print echo % % 
"ask ask answer ask
echo hello world!",ask ask % ask echo % % 
echo 1 + 2,echo % + % 
"ask how old are you?
print Wow, that's old!",ask % % % % print % % % 
"ask how old are you? age
print Wow, that's old!",ask % % % % % print % % % 
"ask how old are you? age
print Wow age thats old",ask % % % % % print % % % % 
"ask how old are you? age
echo wow 
print is old",ask % % % % % echo % print % % 
"print hello world!
ask how many oceans do you have?
echo so you have this many oceans ",print % % ask % % % % % % echo % % % % % % 
print Hello welcome to Hedy Sir John!,print % % % % % % 
"print hello world!
print \"" \\ \n test","print % % print \"" \\ % % "
"print hello world!
ask Co je",print % % ask % % 
"ask How are you doing?
echo so you are doing",ask % % % % echo % % % % 
"ask Who is it?
print Dr. who
",ask % % % print % % 
"print knock knock
ask Who is it?
echo print who?
",print % % ask % % % echo print % 
"print knock knock
ask Who is it?
echo Sorry
",print % % ask % % % echo % 
"print knock knock
ask Who is it?
echo Sorry 
ask Who?",print % % ask % % % echo % ask % 
"print knock knock
ask Who is it?
echo Sorry 
ask Who?
echo answer",print % % ask % % % echo % ask % echo % 
"ask The main character of this story is 
echo The main character of this story is 
print He walks in the forest.
echo He is a little scared. 
print  hears crazy sounds everywhere.
print He is afraid this is a ghost forest.
",ask % % % % % % % echo % % % % % % % print % % % % % echo % % % % % print % % % % print % % % % % % % % 
"ask The main character of this story is? 
print The main character of this story is 
print He walks in the forest.
echo He is a little scared. 
print  hears crazy sounds everywhere.
print He is afraid this is a ghost forest.
",ask % % % % % % % print % % % % % % % print % % % % % echo % % % % % print % % % % print % % % % % % % % 
print hello world! and 2 * 5 is 10 right?,print % % % % * % % % % 
"print hello world!
echo so your favorie colour is: 
ask red?",print % % echo % % % % % ask % 
"ask What is your favorite color?
print is answer
",ask % % % % % print % % 
"print hello world!
print 4 + 5",print % % print % + % 
"print Hello welcome to Hedy!
print I am print",print % % % % print % % print 
"print animals at random
print Hello there at random",print % % % print % % % % 
"print print print
",print print print 
"print Print print
",print % print 
"print —
",print — 
"print hello world
echo hello world",print % % echo % % 
"print hello world
ask hello world
echo
",print % % ask % % echo 
"print hello world
ask hello world
echo
echo",print % % ask % % echo echo 
"print Hello welcome to Hedy!
print my name is foo",print % % % % print % % % % 
ask What is your favorite color? ask a?,ask % % % % % ask % 
"ask What is your favorite color? ask a?
ask b?",ask % % % % % ask % ask % 
print hello David - how are you?,print % % - % % % 
print :,print : 
print ],print ] 
"print ]""","print ]"" "
"print hello world!
echo
",print % % echo 
"print ahoj vsici
ask jak se mate
echo ",print % % ask % % % echo 
"print Hello welcome to Hedy!
print welcome to the matrix
print I am your tourguide
print but first you must take the red pill",print % % % % print % % % % print % % % % print % % % % % % % % 
"ask What is your favorite color?
ask do you like berries?
ask do you want to play a game?
",ask % % % % % ask % % % % ask % % % % % % % 
"print Welcome th the Matrix!
ask What is your name?",print % % % % ask % % % % 
ask echo,ask echo 
"ask 2
echo",ask % echo 
"print Hello welcome to Hedy!
echo Hello welcome to Hedy!",print % % % % echo % % % % 
"print Step into my parlor, said the spider to the fly.",print % % % % % % % % % % 
"print Step into my parlor, said the spider to the fly.
print what about this",print % % % % % % % % % % print % % % 
"print Hello welcome to Hedy!
print hi booo
",print % % % % print % % 
"print hello world!
print hello My name is Ari",print % % print % % % % % 
"print hello world!
print hello My name is Ari
ask ¿Cuál es tu nombre?",print % % print % % % % % ask % % % % 
"print hello world!
print hello My name is Ari
ask ¿Cuál es tu nombre?
echo Me gusta tu nombre",print % % print % % % % % ask % % % % echo % % % % 
"print Hello welcome to Hedy!
print Hello! My name is Praneeth.",print % % % % print % % % % % 
"ask What is your favorite color? 
print What is your favorite color?",ask % % % % % print % % % % % 
print ask What is your favorite color?,print ask % % % % % 
"print Nadpis
ask Vari?
echo Odpoved: ",print % ask % echo % 
"print Nadpis
ask Vari?
echo",print % ask % echo 
"ask que edad tienes?
echo tienes ",ask % % % echo % 
"ask The main character of this story is 
echo The main character of this story is 
print He walks in the forest
echo He is a little scared 
print He hears crazy sounds everywhere
print He is afraid this is a ghost forest",ask % % % % % % % echo % % % % % % % print % % % % % echo % % % % % print % % % % % print % % % % % % % % 
"print hello world!
ask How old are you?
print I'm ask years old!",print % % ask % % % % print % ask % % 
print ask What's your favorite color?,print ask % % % % 
ask What is 1 + 1,ask % % % + % 
echo What is 1 + 1,echo % % % + % 
"print hello world!
ask hello world!
echo so hello world is ",print % % ask % % echo % % % % 
"print wussup
echo print",print % echo print 
"ask what is your favorite colour
echo ask what is your favorite colour",ask % % % % % echo ask % % % % % 
"ask Do you like blueberries?
ask Do you love me?",ask % % % % ask % % % % 
"ask Do you like blueberries?
ask Do you love me?
echo so",ask % % % % ask % % % % echo % 
print привет Hedy!,print привет % 
ask Qem é vc?,ask % é % 
"print ejemplo
ask pregunta?
",print % ask % 
"print ejemplo
ask pregunta?
echo respuesta de eco",print % ask % echo % % % 
"print hello world!
print ""my name is"" name
",print % % print % % % % 
print Hello welcome to Hedy! I'm glad you are here.,print % % % % % % % % % 
echo,echo 
"print hello world!
print gato lindo
print oi
print mother",print % % print % % print % print % 
"print hello world!
print gato lindo
print oi
print mother
print castle",print % % print % % print % print % print % 
"ask my name
print name",ask % % print % 
"ask What is your favorite color?
ask What is the air speed velocity of an unladen swallow?",ask % % % % % ask % % % % % % % % % % 
"print hello,
print what are you going to do today?",print % print % % % % % % % 
"
ask what is your name
echo Hello
ask what is your favourite banana
echo Yellow yums! 
",ask % % % % echo % ask % % % % % echo % % 
"ask What is your favorite color?
ask what is your age",ask % % % % % ask % % % % 
"print Hello welcome to Hedy!
echo Hello James how are you doing today?
",print % % % % echo % % % % % % % 
"ask What?
print hello world!
echo",ask % print % % echo 
ask ask,ask ask 
"print hello world!
ask say hello
print ask",print % % ask % % print ask 
"print Hello welcome to Hedy!
ask hey!
echo ask",print % % % % ask % echo ask 
"print Hello welcome to Hedy!
ask hey!
echo ",print % % % % ask % echo 
print рпрп,print рпрп 
ask привет,ask привет 
"print hello world!
print coel Sergio Bacelar vai se decidir quando para criar o nome do projeto?
",print % % print % % % % % % % % % % % % % 
"ask huh?
echo Sounds like 
",ask % echo % % 
"ask Cal é a túa cor favorita?
echo a túa cor favorita é o ",ask % é % % % % echo % % % % é % 
"print Hello welcome to Hedy!
print hi!
echo hello world",print % % % % print % echo % % 
"print hello world!
print Hello welcome to Hedy!
ask what is your color?
",print % % print % % % % ask % % % % 
"print Welcome to WeThinkCode_
print WeThinkCode_ is a peer to peer learning institution",print % % % print % % % % % % % % 
"print Welcome To The Bootcamp!
ask What module are you currently working on",print % % % % ask % % % % % % % 
"print Welcome To The Bootcamp!
ask What module are you currently working on?
echo ",print % % % % ask % % % % % % % echo 
"print Welcome To The Bootcamp!
ask What module are you currently working on?
echo I am currently working on module 1",print % % % % ask % % % % % % % echo % % % % % % % 
"print Welcome To The Bootcamp!
ask What is your name?
echo My name is 
print and I am excited to be here",print % % % % ask % % % % echo % % % print % % % % % % % 
"ask ""My name is""
print Name",ask % % % print % 
print print Hello welcome to Hedy!,print print % % % % 
print print Hello welcome to Hedy! print,print print % % % % print 
"ask What is your favorite color?
echo
echo
echo",ask % % % % % echo echo echo 
"print Ahojky
ask Jak se mas?",print % ask % % % 
"print Ahojky
ask Jak se mas?
echo ",print % ask % % % echo 
"print Hello welcome to Hedy!
print hi
print hello
print test",print % % % % print % print % print % 
"print This is a story about you!
ask What is your name?",print % % % % % % ask % % % % 
"print This is a story about you!
ask What is your name?
echo Hello ",print % % % % % % ask % % % % echo % 
"print This is a story about you!
ask What is your name?
echo Hello 
print Let's go!",print % % % % % % ask % % % % echo % print % % 
"print This is a story about you!
ask What is your name?
echo Hello 
print Let us go!",print % % % % % % ask % % % % echo % print % % % 
echo h ejrh jer,echo % % % 
"print Welcome to Bootcamp!
ask What is your name?
echo ",print % % % ask % % % % echo 
"print Welcome to Bootcamp!
ask What is your name?
echo ..",print % % % ask % % % % echo .. 
echo ask What is the date Today?,echo ask % % % % % 
"ask What is the date Today?
echo answer:  
ask Why do you want to learn code?
echo answer: ",ask % % % % % echo % ask % % % % % % % echo % 
"print Welcome to WeThinkCode_
echo WeThinkCode_ is a peer to peer learing institution",print % % % echo % % % % % % % % 
"print Welcome To The Bootcamp
ask Name?
print My name is echo Name",print % % % % ask % print % % % echo % 
"print Welcome to WeThinkCode_
ask What is WeThinkCodes moto.
echo WeThinkCode is a ",print % % % ask % % % % echo % % % 
"print Welcome To The Bootcamp
ask Name?
echo My name is echo {{ }}",print % % % % ask % echo % % % echo % % 
"print Welcome To The Bootcamp
ask Name?
echo My name is echo {{",print % % % % ask % echo % % % echo % 
"print Welcome To The Bootcamp
ask Name?
echo My name is echo {{
echo }}",print % % % % ask % echo % % % echo % echo % 
"print Welcome To The Bootcamp
ask Name?
echo My name is echo",print % % % % ask % echo % % % echo 
"print Welcome To The Bootcamp
ask Name?
echo My name is ",print % % % % ask % echo % % % 
print WeThinkCode_ is a peer to peer learning institution ,print % % % % % % % % 
"ask What date is today?
echo so today's date is ..",ask % % % % echo % % % % .. 
"ask What date is today?
echo the date for today is ..",ask % % % % echo % % % % % .. 
"
echo Welcome to WeThinkCode_
echo WeThinkCode_ is a peer to peer learning institution",echo % % % echo % % % % % % % % 
"print Welcome To The Bootcamp!
ask Enter your name?
echo My name is 
print and I am excited to be here",print % % % % ask % % % echo % % % print % % % % % % % 
"ask Who is this story about?
echo this story is about 
echo In the Netherlands,
print is where she lives",ask % % % % % echo % % % % echo % % % print % % % % 
"ask Who is the story about?
echo this stoy is about
echo In Greece
",ask % % % % % echo % % % % echo % % 
"print hello!
ask What is your name?
",print % ask % % % % 
"ask Would you like to become an astronaut?
echo The Answer",ask % % % % % % % echo % % 
"ask Would you like to become an astronaut?
echo So your answer is",ask % % % % % % % echo % % % % 
"print Hello
ask What is a mix of different gases, such as nitrogen and oxygen?
echo Your answer was:
",print % ask % % % % % % % % % % % % echo % % % 
"ask hello world?
echo ",ask % % echo 
"print welcome to Oceanbasket Retuarant!
print my name is micheal and i will serve you",print % % % % print % % % % % % % % % 
"print welcome to Oceanbasket Retuarant!
print my name is micheal and I will be serving you tonight",print % % % % print % % % % % % % % % % % 
"ask Who is the waitor
echo hi im 
print ill be serving you",ask % % % % echo % % print % % % % 
"ask What is the store name
echo Welcome to
ask what is the waitors name 
echo my name is 
echo ill be serving you tonight",ask % % % % % echo % % ask % % % % % echo % % % echo % % % % % 
"ask What is the store name
echo Welcome to 
ask what is the waitors name 
echo my name is 
print ill be serving you tonight",ask % % % % % echo % % ask % % % % % echo % % % print % % % % % 
"print welcome to Oceanbasket Retuarant!
print my name is micheal and I will be serving you tonight
print Hi Samkelo its nice to meet you",print % % % % print % % % % % % % % % % % print % % % % % % % 
"ask What is the store name
echo Welcome to 
ask what is the waitors name 
echo my name is 
print ill be serving you tonight
ask whats your name  
echo hi 
print nice to meet you",ask % % % % % echo % % ask % % % % % echo % % % print % % % % % ask % % % echo % print % % % % 
"print welcome to Oceanbasket Retuarant!
print my name is micheal and I will be serving you tonight
print Hi Samkelo its nice to meet you
print Hi Lihle its nice to meet you",print % % % % print % % % % % % % % % % % print % % % % % % % print % % % % % % % 
"print welcome to Oceanbasket Retuarant!
print my name is Micheal and I will be serving you tonight
print Hi Samkelo its nice to meet you
print Hi Lihle its nice to meet you
print Great I will be back one Fanta and one coke",print % % % % print % % % % % % % % % % % print % % % % % % % print % % % % % % % print % % % % % % % % % % 
