code,level,processed_code
print hello world!,2,print % % 
"purple is ask What is your favorite color?
print purple is your favorite!",2,% is ask % is % % % print % is % % 
"name is Billy
print name goes somewhere",2,% is % print % % % 
print cat,2,print % 
"name is Josh
print welcome name",2,% is % print % % 
"name is heady
print name",2,% is % print % 
"Color is ask What is your favorite color?
print Color is your favorite color!",2,% is ask % is % % % print % is % % % 
"Color is ask What is your favorite color?
print Color is your favorite color!
Name is ask What is your name?
print Name your name is beautiful ",2,% is ask % is % % % print % is % % % % is ask % is % % print % % % is % 
"skin is soccer, banner
print skin at random",2,% is % % print % % % 
name is Foo,2,% is % 
"a is 3
b is 5
print a",2,% is % % is % print % 
"a is 3
b is 5
print a and b",2,% is % % is % print % % % 
"name is  Emma
print name is the best!",2,% is % print % is % % 
"forest is dog, cat, kangaroo
print forest at random",2,% is % % % print % % % 
"print hello world!
name is 'Hedy'
",2,print % % % is % 
"print hello world!
name is ""Hedy""
print name
",2,print % % % is % print % 
"print hello world!
print name
name is ""Hedy""
print name
",2,print % % print % % is % print % 
"print hello world!
print name thing
name is ""Hedy""
print name
",2,print % % print % % % is % print % 
"print hello world!
print name
",2,print % % print % 
"print hello world!
print name is
name is ""Hedy""
",2,print % % print % is % is % 
"print hello world!
print name
name is 'Hedy'
",2,print % % print % % is % 
"a is 10
b is 15
print a b a b",2,% is % % is % print % % % % 
"a is R
b is G
c is A
d is O
e is M
print e c a b d",2,% is % % is % % is % % is % % is % print % % % % % 
"a is k
d is i
e is s
k is o
p is u
print e p a d a k ",2,% is % % is % % is % % is % % is % print % % % % % % 
print blue ringed octopus human deer,2,print % % % % % 
"name is ask Hello what is your name?
print name",2,% is ask % % is % % print % 
"name is ask ?????
print name",2,% is ask % print % 
name is ask what is your name,2,% is ask % is % % 
"name is ask what is your name?
print Your name is name.",2,% is ask % is % % print % % is % 
"name is ask what is your name?
print ""Your name is"" name.",2,% is ask % is % % print % % % % 
"print hello world!
temp is ask How Are You?
print temp is temp",2,print % % % is ask % % % print % is % 
"print hello world!
temp is ask How Are You?
print ""temp is"" temp",2,print % % % is ask % % % print % % % 
"print hello world!
this is ask name?
print this",2,print % % % is ask % print % 
"print hello world!
this is ask name?
print this is this",2,print % % % is ask % print % is % 
"print hello world!
this is ask name?
print this is this and that is that",2,print % % % is ask % print % is % % % is % 
name is ask what is name,2,% is ask % is % 
"name is ask what is your name?
print name",2,% is ask % is % % print % 
"name is ask what is your name?
print welcome name",2,% is ask % is % % print % % 
"food is ask What is your favorite food?
stuff is food, meal, nutrition
print food is your favorite stuff!",2,% is ask % is % % % % is % % % print % is % % % 
"food is ask What is your favorite food?
stuff is food, meal, nutrition
print food is your favorite stuff at random!",2,% is ask % is % % % % is % % % print % is % % % % % 
"test is 2
test2 is 4
test3 is $test+$test2
print welcome test3",2,% is % % is % % is % print % % 
"name is blue
print is name your favorite!",2,% is % print is % % % 
anime is ask  what is your favorite anime...,2,% is ask % is % % % 
"anime is ask what is your favorite anime ?
print anime is your favorite!",2,% is ask % is % % % % print % is % % 
print my name is lulu,2,print % % is % 
"print hello world!
print hello world",2,print % % print % % 
print ask ?,2,print ask % 
"name is ask name
print welcome name",2,% is ask % print % % 
