code,processed_code
print hola mundo!,print % % 
print Hallo welkom bij Hedy!,print % % % % 
ask Wat is je lievelingskleur?,ask % is % % 
"ask Wat is je lievelingskleur?
echo dus je lievelingskleur is",ask % is % % % % % % is 
"print hallo wereld!
ask kan Juul even rustig doen?",print % % ask % % % % % 
"print hallo wereld!
ask kan Juul even rustig doen?
echo dus je kan het wel?",print % % ask % % % % % % % % % % % 
"print hallo wereld!
ask kan Juul even rustig doen?
echo dus je kan het wel?
echo zeker weten?
",print % % ask % % % % % % % % % % % % % % 
"print hallo wereld!
ask kan Juul even rustig doen?
echo dank je!
",print % % ask % % % % % % % % 
"print paw patrol
print wat is jou liefelings pup",print % % print % is % % % 
"print paw patrol
ask wat is jou liefelings pup",print % % ask % is % % % 
ask Hoe heet Bowser Tina Kaboom,ask % % % % % 
"print Elin is Boos
print Elin wordt nu weer blij",print % is % print % % % % % 
ask Wie is piggy?,ask % is % 
ask gaXHKKKKKXbahawgsxkjbs,ask % 
"ask gaXHKKKKKXbahawgsxkjbs
echo he! wat betekent dat?",ask % % % % % % 
"ask Wie is de hoofdpersoon?
print De hoofd persoon zit in Piggy",ask % is % % print % % % % % % 
"ask Wie is de hoofdpersoon?
print De hoofd persoon zit in Piggys huis",ask % is % % print % % % % % % % 
"print Hallo welkom bij Hedy!
ask Wat is je lievelingskleur?",print % % % % ask % is % % 
print ask Wat is je lievelingskleur?,print ask % is % % 
"print ask Wat is je lievelingskleur?
echo dus je hebt geen lievelings kleur eh!",print ask % is % % % % % % % % % % 
"print ask Wat is je lievelingskleur?
echo dus je lievelingskleur is paars?",print ask % is % % % % % % is % 
print ik ga testen,print % % % 
"print Wij gaan wandelen
ask waar wil je heen?
echo Dus je wilt naar het ask",print % % % ask % % % % % % % % % % ask 
"print Wij gaan wandelen
ask waar wil je heen?
echo Dus je wilt naar het ",print % % % ask % % % % % % % % % % 
"print Wij gaan wandelen
ask waar wil je heen?
echo Dus je wilt naar ",print % % % ask % % % % % % % % % 
"ask Hoe gaat het
echo dus het gaat ",ask % % % % % % % 
"ask de hoofdpersoon dit verhaal is super sini
print hallo
echo hlo
",ask % % % % is % % print % % % 
print hallo ,print % 
ask hoe lang is een chinees ,ask % % is % % 
"ask hoe lang is een chinees 
echo dat klopt 
",ask % % is % % % % % 
"ask hoe lang is een chinees 
echo dat klopt echo echo
",ask % % is % % % % % % % 
"print hallo wereld!
ask wat is de hoofdpersoon",print % % ask % is % % 
echo hallo wereld,% % % 
print Pim is aan het spelen,print % is % % % 
"print Pim is aan het spelen.
ask wat doet hij",print % is % % % ask % % % 
"ask wie is de hoofdpersoon
print hoi ik ben",ask % is % % print % % % 
