code,processed_code
p is ask hallo kies een cijfer,% is ask % % % % 
"p is ask hallo kies een cijfer
print repeat p times ",% is ask % % % % print % % % 
"refrein is ik
print refrein",% is % print % 
"p is ask hallo kies een cijfer
print repeat p times print 'pepiiiiiiiiiinnnnnnnnoooooo hello hello hello'",% is ask % % % % print % % % print % % % % 
refrijn is ask kies een cijfer,% is ask % % % 
"p is ask hallo kies een cijfer
repeat 5 times print 'hello hello hello'",% is ask % % % % % % % print % % % 
getal is ask hoevaak wil jij het refrein van country roads horen?,% is ask % % % % % % % % % 
"refrijn is ask kies een cijfer
print refrijn is baby sharky",% is ask % % % print % is % % 
"refrijn is ask kies een cijfer
print baby sharky",% is ask % % % print % % 
"refrein is ask input
print refrein",% is ask % print % 
"refrein is ask input
repeat 10 times print refrein",% is ask % % % % print % 
p is ask een getal ,% is ask % % 
repeat 10 times print sa,% % % print % 
"j is ask Wat wil je zingen?
repeat 3 times print j",% is ask % % % % % % % print % 
"j is ask Kies een cijfer?
repeat 21 times print j",% is ask % % % % % % print % 
"j is ask Kies een cijfer
repeat 3 times print 'la laaaa lam'",% is ask % % % % % % print % % % 
"keuzes is 1, 2, 3, 4, 5, regenworm",% is % % % % % % 
"keuzes is 1, 2, 3, 4, 5, regenworm
repeat 5 times print 'je hebt ' keuzes at random ' gegooid'",% is % % % % % % % % % print % % % % % % % % 
"kleur is ask Wat is je lievelingskleur?
print 'Jouw favoriet is dus ' kleur",% is ask % is % % print % % is % % % 
print 'Hallo welkom bij Hedy',print % % % % 
"keus is ask steen papier schaar?
print keus
opties is steen, papier, schaar
computer is opties at random
print computer
if keus is steen if computer is papier round is verloren
if keus is steen if computer is steen round is gelijk
if keus is steen if computer is schaar round is gewonnen
if keus is papier if computer is papier round is gelijk 
if keus is papier if computer is steen round is gewonnen
if keus is papier if computer is schaar round is verloren
if keus is schaar if computer is papier round is gewonnen
if keus is schaar if computer is steen round is verloren
if keus is schaar if computer is schaar round is gelijk
print round ",% is ask % % % print % % is % % % % is % % % print % % % is % % % is % % is % % % is % % % is % % is % % % is % % % is % % is % % % is % % % is % % is % % % is % % % is % % is % % % is % % % is % % is % % % is % % % is % % is % % % is % % % is % % is % % % is % % % is % % is % print % 
"keuzes is papa, mama, y, m
print keuzes at random ' doet vandaag de afwas'",% is % % % % print % % % % % % % % 
"keuzes is papa, mama, m
print keuzes at random ' doet vandaag de afwas'
",% is % % % print % % % % % % % % 
"keuzes is m, m
print keuzes at random ' doet vandaag de afwas'
",% is % % print % % % % % % % % 
"keuzes is m, n, b, v, c, x, z, a, s, d, f, g, h, j, k, l, p, o, i, u, y, t, r, e, w, q
print keuzes at random",% is % % % % % % % % % % % % % % % % % % % % % % % % % % print % % % 
print 'hey ' naam,print % % % 
